BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1214.8803796598886,7890.965133103968,0.07547169811320756,0.8710526315789474,0.07142857142857142,0.08,49,0.08,0.24
1214.8803796598886,7890.965133103968,0.07547169811320756,0.8710526315789474,0.07142857142857142,0.08,49,0.08,0.24
979.3144497460262,7655.399203190105,0.1923076923076923,0.8894736842105263,0.18518518518518517,0.2,42,0.2,0.4
871.4319523696659,7547.516705813745,0.1923076923076923,0.8894736842105263,0.18518518518518517,0.2,42,0.2,0.4
776.6965834278153,7452.781336871894,0.1923076923076923,0.8894736842105263,0.18518518518518517,0.2,42,0.2,0.44
562.693869767586,7238.778623211665,0.3137254901960784,0.9078947368421053,0.3076923076923077,0.32,35,0.32,0.56
562.693869767586,7238.778623211665,0.3137254901960784,0.9078947368421053,0.3076923076923077,0.32,35,0.32,0.56
562.693869767586,7238.778623211665,0.3137254901960784,0.9078947368421053,0.3076923076923077,0.32,35,0.32,0.56
547.310658682346,7223.395412126425,0.2916666666666667,0.9105263157894737,0.30434782608695654,0.28,34,0.28,0.48
547.310658682346,7223.395412126425,0.2916666666666667,0.9105263157894737,0.30434782608695654,0.28,34,0.28,0.48
507.7333054378232,7183.818058881902,0.3333333333333333,0.9157894736842105,0.34782608695652173,0.32,32,0.32,0.52
470.95249753112876,7147.037250975208,0.3673469387755102,0.9184210526315789,0.375,0.36,31,0.36,0.56
406.52699860131725,7082.611752045396,0.21276595744680854,0.9026315789473685,0.22727272727272727,0.2,37,0.2,0.56
380.577734076056,7056.662487520135,0.28,0.9052631578947369,0.28,0.28,36,0.28,0.6
380.577734076056,7056.662487520135,0.28,0.9052631578947369,0.28,0.28,36,0.28,0.6
375.64958399479474,7051.734337438874,0.2857142857142857,0.9078947368421053,0.2916666666666667,0.28,35,0.28,0.6
348.40860254796917,7024.493355992048,0.24489795918367346,0.9026315789473685,0.25,0.24,37,0.24,0.6
264.53060397387253,6940.615357417952,0.4081632653061225,0.9236842105263158,0.4166666666666667,0.4,29,0.4,0.6
264.53060397387253,6940.615357417952,0.4081632653061225,0.9236842105263158,0.4166666666666667,0.4,29,0.4,0.6
188.22050323435997,6864.305256678439,0.4489795918367347,0.9289473684210526,0.4583333333333333,0.44,27,0.44,0.64
173.79462336688266,6849.879376810962,0.41666666666666663,0.9263157894736842,0.43478260869565216,0.4,28,0.4,0.68
145.39390247768006,6821.478655921759,0.4999999999999999,0.9368421052631579,0.5217391304347826,0.48,24,0.48,0.64
125.47776412489566,6801.562517568975,0.4255319148936171,0.9289473684210526,0.45454545454545453,0.4,27,0.4,0.64
111.4024206302538,6787.487174074333,0.4999999999999999,0.9368421052631579,0.5217391304347826,0.48,24,0.48,0.64
100.64934837408418,6776.734101818163,0.5106382978723404,0.9394736842105263,0.5454545454545454,0.48,23,0.48,0.64
72.82114079963594,6748.905894243715,0.5416666666666667,0.9421052631578948,0.5652173913043478,0.52,22,0.52,0.68
