BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1595.6733381227696,8293.032295800389,0.24,0.9,0.24,0.24,38,0.24,0.36
1367.6434010932899,8065.002358770909,0.15384615384615383,0.8842105263157894,0.14814814814814814,0.16,44,0.16,0.36
1081.116023619079,7778.474981296698,0.28,0.9052631578947369,0.28,0.28,36,0.28,0.4
1081.116023619079,7778.474981296698,0.28,0.9052631578947369,0.28,0.28,36,0.28,0.4
954.3845578857618,7651.743515563381,0.20000000000000004,0.8947368421052632,0.2,0.2,40,0.2,0.32
870.6916917242879,7568.050649401907,0.20833333333333331,0.9,0.21739130434782608,0.2,38,0.2,0.32
835.3681104850966,7532.727068162716,0.20000000000000004,0.8947368421052632,0.2,0.2,40,0.2,0.32
733.1132888807042,7430.472246558324,0.30188679245283023,0.9026315789473685,0.2857142857142857,0.32,37,0.32,0.44
714.0586821385732,7411.417639816193,0.27450980392156865,0.9026315789473685,0.2692307692307692,0.28,37,0.28,0.4
603.5042586937043,7300.863216371324,0.3137254901960784,0.9078947368421053,0.3076923076923077,0.32,35,0.32,0.44
543.33989614661,7240.698853824229,0.28,0.9052631578947369,0.28,0.28,36,0.28,0.56
408.5278582707351,7105.8868159483545,0.24999999999999994,0.9052631578947369,0.2608695652173913,0.24,36,0.24,0.48
366.26944674143306,7063.6284044190525,0.3333333333333333,0.9157894736842105,0.34782608695652173,0.32,32,0.32,0.44
310.29815672618315,7007.657114403803,0.32653061224489793,0.9131578947368421,0.3333333333333333,0.32,33,0.32,0.56
264.74421566045567,6962.103173338075,0.35555555555555557,0.9236842105263158,0.4,0.32,29,0.32,0.56
225.76597891228175,6923.124936589901,0.3333333333333333,0.9157894736842105,0.34782608695652173,0.32,32,0.32,0.52
225.76597891228175,6923.124936589901,0.3333333333333333,0.9157894736842105,0.34782608695652173,0.32,32,0.32,0.52
176.76427704677917,6874.123234724399,0.3829787234042554,0.9236842105263158,0.4090909090909091,0.36,29,0.36,0.6
162.5748804544928,6859.933838132112,0.3636363636363636,0.9263157894736842,0.42105263157894735,0.32,28,0.32,0.56
143.5477940793644,6840.906751756984,0.3829787234042554,0.9236842105263158,0.4090909090909091,0.36,29,0.36,0.6
78.58483577007974,6775.943793447699,0.4255319148936171,0.9289473684210526,0.45454545454545453,0.4,27,0.4,0.6
69.72480340357833,6767.083761081198,0.43478260869565216,0.9315789473684211,0.47619047619047616,0.4,26,0.4,0.6
61.85205403263717,6759.211011710257,0.43478260869565216,0.9315789473684211,0.47619047619047616,0.4,26,0.4,0.6
40.906335980154836,6738.265293657774,0.46808510638297873,0.9342105263157895,0.5,0.44,25,0.44,0.64
25.899514383092537,6723.258472060712,0.4782608695652174,0.9368421052631579,0.5238095238095238,0.44,24,0.44,0.64
20.284120895390515,6717.64307857301,0.48888888888888893,0.9394736842105263,0.55,0.44,23,0.44,0.64
12.30498409854863,6709.663941776168,0.48888888888888893,0.9394736842105263,0.55,0.44,23,0.44,0.64
3.8603763705941674,6701.219334048214,0.5777777777777778,0.95,0.65,0.52,19,0.52,0.68
-9.73415391394974,6687.62480376367,0.5909090909090909,0.9526315789473684,0.6842105263157895,0.52,18,0.52,0.68
