BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1595.316709317166,8253.25710161235,0.0784313725490196,0.8763157894736842,0.07692307692307693,0.08,47,0.08,0.16
1226.1684040236805,7884.108796318864,0.12244897959183673,0.8868421052631579,0.125,0.12,43,0.12,0.28
1113.5075176081555,7771.447909903339,0.19607843137254902,0.8921052631578947,0.19230769230769232,0.2,41,0.2,0.28
1010.8592511492807,7668.799643444464,0.23076923076923075,0.8947368421052632,0.2222222222222222,0.24,40,0.24,0.32
802.6806693574972,7460.6210616526805,0.16666666666666666,0.8947368421052632,0.17391304347826086,0.16,40,0.16,0.32
689.0629900605454,7347.003382355729,0.20833333333333331,0.9,0.21739130434782608,0.2,38,0.2,0.36
556.1889795275574,7214.129371822741,0.22727272727272727,0.9105263157894737,0.2631578947368421,0.2,34,0.2,0.44
512.8085151506248,7170.748907445808,0.3829787234042554,0.9236842105263158,0.4090909090909091,0.36,29,0.36,0.44
415.8920672446802,7073.8324595398635,0.30434782608695654,0.9157894736842105,0.3333333333333333,0.28,32,0.28,0.44
369.30696923374035,7027.247361528924,0.2916666666666667,0.9105263157894737,0.30434782608695654,0.28,34,0.28,0.48
359.84493723841206,7017.785329533595,0.29787234042553196,0.9131578947368421,0.3181818181818182,0.28,33,0.28,0.48
270.4883909311484,6928.428783226332,0.2857142857142857,0.9078947368421053,0.2916666666666667,0.28,35,0.28,0.56
242.80107646770284,6900.741468762886,0.30434782608695654,0.9157894736842105,0.3333333333333333,0.28,32,0.28,0.56
242.80107646770284,6900.741468762886,0.30434782608695654,0.9157894736842105,0.3333333333333333,0.28,32,0.28,0.56
242.80107646770284,6900.741468762886,0.30434782608695654,0.9157894736842105,0.3333333333333333,0.28,32,0.28,0.56
242.80107646770284,6900.741468762886,0.30434782608695654,0.9157894736842105,0.3333333333333333,0.28,32,0.28,0.56
198.9790554745705,6856.919447769754,0.35555555555555557,0.9236842105263158,0.4,0.32,29,0.32,0.6
166.62229246476454,6824.562684759948,0.3673469387755102,0.9184210526315789,0.375,0.36,31,0.36,0.6
146.87748215367264,6804.817874448856,0.37499999999999994,0.9210526315789473,0.391304347826087,0.36,30,0.36,0.6
126.89154358465566,6784.831935879839,0.391304347826087,0.9263157894736842,0.42857142857142855,0.36,28,0.36,0.6
100.20979708546565,6758.150189380649,0.4255319148936171,0.9289473684210526,0.45454545454545453,0.4,27,0.4,0.64
85.80947902460684,6743.74987131979,0.4444444444444445,0.9342105263157895,0.5,0.4,25,0.4,0.64
52.87950990282843,6710.819902198012,0.5531914893617023,0.9447368421052632,0.5909090909090909,0.52,21,0.52,0.64
52.87950990282843,6710.819902198012,0.5531914893617023,0.9447368421052632,0.5909090909090909,0.52,21,0.52,0.64
16.66405654446862,6674.604448839652,0.5909090909090909,0.9526315789473684,0.6842105263157895,0.52,18,0.52,0.64
16.66405654446862,6674.604448839652,0.5909090909090909,0.9526315789473684,0.6842105263157895,0.52,18,0.52,0.64
0.9153064693764463,6658.85569876456,0.5333333333333332,0.9447368421052632,0.6,0.48,21,0.48,0.68
-19.930933598645424,6638.009458696538,0.5454545454545454,0.9473684210526315,0.631578947368421,0.48,20,0.48,0.72
