BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1281.8996830804945,8044.737833562559,0.19607843137254902,0.8921052631578947,0.19230769230769232,0.2,41,0.2,0.28
1147.868251066213,7910.706401548277,0.0784313725490196,0.8763157894736842,0.07692307692307693,0.08,47,0.08,0.24
873.0722379041081,7635.910388386173,0.20000000000000004,0.8947368421052632,0.2,0.2,40,0.2,0.36
838.3138347116374,7601.151985193702,0.21276595744680854,0.9026315789473685,0.22727272727272727,0.2,37,0.2,0.32
650.7789659730206,7413.617116455085,0.21739130434782608,0.9052631578947369,0.23809523809523808,0.2,36,0.2,0.32
648.4873362408862,7411.325486722951,0.2553191489361702,0.9078947368421053,0.2727272727272727,0.24,35,0.24,0.36
624.758827895037,7387.596978377102,0.21276595744680854,0.9026315789473685,0.22727272727272727,0.2,37,0.2,0.32
589.3054063960362,7352.143556878101,0.2916666666666667,0.9105263157894737,0.30434782608695654,0.28,34,0.28,0.36
519.8220757762165,7282.660226258281,0.24999999999999994,0.9052631578947369,0.2608695652173913,0.24,36,0.24,0.32
472.097746711067,7234.9358971931315,0.30434782608695654,0.9157894736842105,0.3333333333333333,0.28,32,0.28,0.4
462.61112847617187,7225.449278958236,0.3404255319148936,0.9184210526315789,0.36363636363636365,0.32,31,0.32,0.36
411.33406051984,7174.1722110019045,0.32653061224489793,0.9131578947368421,0.3333333333333333,0.32,33,0.32,0.4
387.0796028098366,7149.917753291901,0.29787234042553196,0.9131578947368421,0.3181818181818182,0.28,33,0.28,0.36
370.80432368452693,7133.6424741665915,0.35555555555555557,0.9236842105263158,0.4,0.32,29,0.32,0.4
313.384651547919,7076.2228020299835,0.39999999999999997,0.9289473684210526,0.45,0.36,27,0.36,0.44
272.38736547193,7035.225515953995,0.39999999999999997,0.9289473684210526,0.45,0.36,27,0.36,0.44
251.7663785257464,7014.604529007811,0.37499999999999994,0.9210526315789473,0.391304347826087,0.36,30,0.36,0.48
164.62079799656385,6927.458948478628,0.4583333333333333,0.9315789473684211,0.4782608695652174,0.44,26,0.44,0.52
157.80645674193784,6920.644607224002,0.46808510638297873,0.9342105263157895,0.5,0.44,25,0.44,0.52
141.70709469104168,6904.545245173106,0.4782608695652174,0.9368421052631579,0.5238095238095238,0.44,24,0.44,0.52
90.46797253572367,6853.306123017788,0.5106382978723404,0.9394736842105263,0.5454545454545454,0.48,23,0.48,0.64
85.91860541834103,6848.756755900406,0.5106382978723404,0.9394736842105263,0.5454545454545454,0.48,23,0.48,0.68
74.3196899780869,6837.157840460151,0.5306122448979592,0.9394736842105263,0.5416666666666666,0.52,23,0.52,0.72
73.03656298088845,6835.874713462953,0.5306122448979592,0.9394736842105263,0.5416666666666666,0.52,23,0.52,0.6
43.11564495550647,6805.953795437571,0.5531914893617023,0.9447368421052632,0.5909090909090909,0.52,21,0.52,0.6
43.11564495550647,6805.953795437571,0.5531914893617023,0.9447368421052632,0.5909090909090909,0.52,21,0.52,0.6
29.301030439287388,6792.139180921352,0.5957446808510639,0.95,0.6363636363636364,0.56,19,0.56,0.64
25.943162405326802,6788.781312887391,0.5833333333333334,0.9473684210526315,0.6086956521739131,0.56,20,0.56,0.76
-19.8375682193755,6743.000582262689,0.6666666666666665,0.9605263157894737,0.75,0.6,15,0.6,0.72
