BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1523.0130565020181,8218.928987899184,0.1886792452830189,0.8868421052631579,0.17857142857142858,0.2,43,0.2,0.24
1500.1897375427661,8196.105668939932,0.0425531914893617,0.881578947368421,0.045454545454545456,0.04,45,0.04,0.16
1500.1897375427661,8196.105668939932,0.0425531914893617,0.881578947368421,0.045454545454545456,0.04,45,0.04,0.16
1345.3801408158233,8041.296072212989,0.0425531914893617,0.881578947368421,0.045454545454545456,0.04,45,0.04,0.16
1345.3801408158233,8041.296072212989,0.0425531914893617,0.881578947368421,0.045454545454545456,0.04,45,0.04,0.16
1298.8371415231622,7994.753072920328,0.20408163265306126,0.8973684210526316,0.20833333333333334,0.2,39,0.2,0.28
1178.795047208473,7874.710978605639,0.03846153846153846,0.868421052631579,0.037037037037037035,0.04,50,0.04,0.2
1166.2464899504748,7862.162421347641,0.11764705882352941,0.881578947368421,0.11538461538461539,0.12,45,0.12,0.28
1000.1514997064851,7696.067431103651,0.16,0.8894736842105263,0.16,0.16,42,0.16,0.28
1000.1514997064851,7696.067431103651,0.16,0.8894736842105263,0.16,0.16,42,0.16,0.28
1000.1514997064851,7696.067431103651,0.16,0.8894736842105263,0.16,0.16,42,0.16,0.28
760.2465825513545,7456.16251394852,0.1276595744680851,0.8921052631578947,0.13636363636363635,0.12,41,0.12,0.28
760.2465825513545,7456.16251394852,0.1276595744680851,0.8921052631578947,0.13636363636363635,0.12,41,0.12,0.28
639.0967194836903,7335.012650880856,0.12244897959183673,0.8868421052631579,0.125,0.12,43,0.12,0.28
639.0967194836903,7335.012650880856,0.12244897959183673,0.8868421052631579,0.125,0.12,43,0.12,0.28
539.0623364381636,7234.9782678353295,0.24489795918367346,0.9026315789473685,0.25,0.24,37,0.24,0.44
539.0623364381636,7234.9782678353295,0.24489795918367346,0.9026315789473685,0.25,0.24,37,0.24,0.44
539.0623364381636,7234.9782678353295,0.24489795918367346,0.9026315789473685,0.25,0.24,37,0.24,0.44
539.0623364381636,7234.9782678353295,0.24489795918367346,0.9026315789473685,0.25,0.24,37,0.24,0.44
483.0562230775804,7178.972154474746,0.16666666666666666,0.8947368421052632,0.17391304347826086,0.16,40,0.16,0.36
483.0562230775804,7178.972154474746,0.16666666666666666,0.8947368421052632,0.17391304347826086,0.16,40,0.16,0.36
483.0562230775804,7178.972154474746,0.16666666666666666,0.8947368421052632,0.17391304347826086,0.16,40,0.16,0.36
431.83505355977195,7127.750984956938,0.22222222222222224,0.9078947368421053,0.25,0.2,35,0.2,0.36
431.83505355977195,7127.750984956938,0.22222222222222224,0.9078947368421053,0.25,0.2,35,0.2,0.36
431.83505355977195,7127.750984956938,0.22222222222222224,0.9078947368421053,0.25,0.2,35,0.2,0.36
401.71654196493273,7097.632473362099,0.17391304347826086,0.9,0.19047619047619047,0.16,38,0.16,0.4
